2066061405,当代财经大全,:【中国银联捐助500万元支援四川雅安抗震救灾】四川雅安7.0级强震发生后，中国银联迅速决定通过中华慈善总会向雅安地震灾区捐款500万元，用于受灾群众安置、医疗救助及灾后恢复重建等工作。http://t.cn/zTi4IGv 应对雅安地震，企业捐赠一览：http://t.cn/zTihN2u ,4,113,6,1379686084000
,周星星在路上,#地震快讯#中国地震台网正式测定：09月20日20时24分在缅甸（北纬22.8度，东经95.5度）发生5.7级地震，震源深度20千米。（ @中国地震台网速报 @微博位置 ） ,0,0,14,1379685812000
2068104275,小白化妆术,:【伊利5000箱救灾物资陆续运抵雅安地震灾区】截止2013年4月20日上午12时，伊利集团通过四川雅安地震成都志愿者媒体平台捐赠的首批1000箱救灾物资，已经抵达雅安灾区。与此同时，定向援助雅安的工作也同时展开。http://t.cn/zTJkQbU ,8,135,13,1379685659000
1924651287,mrjo_fromzol,:【雅安地震后青岛一天收30万捐款创历年最多一天 】雅安芦山地震发生后，山东青岛市民纷纷联系青岛市红十字会准备奉献爱心，红十字会也立即进入应急状态，所有工作人员停止休周末回到办公室工作。到4月20日下午5时止，青岛市红十字会共收到爱心市民善款303200元，还有3万元的捐款已基本确定。 ,0,0,0,1379685512000
2341646924,严艳玲m,:四川雅安发生7级地震引发社会各界的广泛关注，作为公众人物，心系雅安，众星为灾区送祝福！ ,0,0,0,1379685295000
1769901877,水木清华666,":【专家:重庆不在地震断裂带内 房屋抗震性值得信任 】4月20日上午,四川雅安芦山发生强烈地震,重庆多处地区震感明显,不少市民担心自己房屋的抗震情况。全国抗震专家、重庆大学土木工程学院教授李英明时表示,重庆房屋的抗震性能值得信任,市民不必为房屋安全问题担忧。 ",0,0,0,1379685276000
,truya,:今天参加了家族聚会,0,0,0,1379681011000
2062935357,老财说,:【广汽集团向受灾地区紧急捐赠300万元救灾物资】雅安加油#北京时间2013年4月20日8时2分，四川省雅安市芦山县发生7.0级地震。广汽集团通过四川当地机构向受灾地区紧急捐赠300万元应急救灾物资，用于灾难救助。抗震救灾，刻不容缓！雅安，加油！://t.cn/zTihqyy ,13,59,7,1379679479000
,盈倪余海燕,:地震好可怕，雅安地震再次敲响了警钟，地震来临，如何更快的保护自己？关键时刻的保护很重要，能救人一命。 ,0,2,2,1379678351000
2302262537,瑞瑞nnn,:4月20号雅安7级地震头一天咱这下雪⋯然后农家庭院里的香椿、核桃、苹果⋯树高出房的树顶尖处都被冻死了⋯太行山下邢沙一带很多地方核桃绝收，柿子栗子也很少⋯当时果树吐花遇雪遭冻花落叶枯⋯不知全国其他地方如何⋯今年果品很可能⋯长价⋯? ,0,0,0,1379678305000
3397026004,小小怪与懒羊羊,:雅安，是四川的旅游胜地，自古有“雅雨、雅女、雅鱼”的三雅之称，这次地震雅安的风景受到重创，但这不影响我们继续爱你，雅安，你依然美丽！ ,0,0,0,1379692699000
2195390870,一个男人的战阵,:【天津航空为雅安救灾物资开辟绿色运输通道】2013年4月21日消息，为支援四川雅安地震救灾，保障救援物资快速收运，天津航空开辟了绿色通道，为救灾飞行提供方便，保障救灾物资在第一时间运往灾区，支持灾区的救援工作。 ,0,0,0,1379692438000
2064161722,花肥仔,:【四川雅安地震致乌鲁木齐至成、渝列车短暂停轮】4月20日8时02分，四川省雅安市芦山县发生7.0级地震，当日受此影响，乌鲁木齐至成都、重庆方向列车短暂停轮。 ,0,0,0,1379692304000
